Time(sec)	lon(deg)	lon(min)	lon(sec)	lat(deg)	lat(min)	lat(sec)	H(m)
70500	-18	28	26.699522	14	13	17.753644	20388003.762025
70800	-18	16	19.488899	12	11	54.008543	20384736.522224
71100	-18	5	30.521915	10	10	1.298591	20381096.832357
71400	-17	55	45.446664	8	7	44.330798	20377091.359275
71700	-17	46	50.416987	6	5	7.601255	20372727.446175
72000	-17	38	31.980277	4	2	15.444746	20368013.100942
72300	-17	30	36.968522	1	59	12.081619	20362956.983384
72600	-17	22	52.391747	0	-3	58.337279	20357568.391364
72900	-17	15	5.332912	-2	7	11.686894	20351857.245837
73200	-17	7	2.843289	-4	10	23.824724	20345834.074797
73500	-16	58	31.837297	-6	13	30.547353	20339509.996151
73800	-16	49	18.985775	-8	16	27.546025	20332896.699522
74100	-16	39	10.606690	-10	19	10.360513	20326006.427003
74400	-16	27	52.552320	-12	21	34.330508	20318851.952864
74700	-16	15	10.092042	-14	23	34.543700	20311446.562246
75000	-16	0	47.789973	-16	25	5.779687	20303804.028840
75300	-15	44	29.376968	-18	26	2.448736	20295938.591579
75600	-15	25	57.616742	-20	26	18.524409	20287864.930376
75900	-15	4	54.166419	-22	25	47.468919	20279598.140908
76200	-14	40	59.432478	-24	24	22.150078	20271153.708494
76500	-14	13	52.424057	-26	21	54.748587	20262547.481085
76800	-13	43	10.606992	-28	18	16.654450	20253795.641399
77100	-13	8	29.763900	-30	13	18.351307	20244914.678239
77400	-12	29	23.868272	-32	6	49.287664	20235921.357020
77700	-11	45	24.984127	-33	58	37.734298	20226832.689562
78000	-10	56	3.207497	-35	48	30.627702	20217665.903174
78300	-10	0	46.672123	-37	36	13.400353	20208438.409083
78600	-8	59	1.649368	-39	21	29.800006	20199167.770256
78900	-7	50	12.781593	-41	4	1.702345	20189871.668668
79200	-6	33	43.498675	-42	43	28.924323	20180567.872062
79500	-5	8	56.678159	-44	19	29.049592	20171274.200265
79800	-3	35	15.618814	-45	51	37.282852	20162008.491127
80100	-1	52	5.401856	-47	19	26.356552	20152788.566126
80400	0	1	5.291426	-48	42	26.521031	20143632.195727
80700	2	4	41.859530	-50	0	5.657024	20134557.064550
81000	4	19	0.960379	-51	11	49.555774	20125580.736421
81300	6	44	7.275101	-52	17	2.414315	20116720.619385
81600	9	19	50.059063	-53	15	7.588000	20107993.930749
81900	12	5	39.830290	-54	5	28.625215	20099417.662239
82200	15	0	45.693935	-54	47	30.577079	20091008.545350
82500	18	3	53.903008	-55	20	41.528061	20082783.016966
82800	21	13	28.247646	-55	44	34.237245	20074757.185345
83100	24	27	32.693466	-55	58	47.727131	20066946.796532
83400	27	43	56.342802	-56	3	8.624754	20059367.201314
83700	31	0	20.331368	-55	57	32.065278	20052033.322771
84000	34	14	25.827787	-55	42	2.018597	20044959.624538
84300	37	24	2.028894	-55	16	50.986967	20038160.079839
84600	40	27	13.044790	-54	42	19.123747	20031648.141394
84900	43	22	22.843919	-53	58	52.911119	20025436.712280
85200	46	8	17.874236	-53	7	3.585611	20019538.117819
85500	48	44	7.437356	-52	7	25.506239	20013964.078593
85800	51	9	22.238152	-51	0	34.628608	20008725.684639
86100	53	23	51.702688	-49	47	7.195856	20003833.370931
86400	55	27	40.664284	-48	27	38.701431	19999296.894198
86700	57	21	5.915379	-47	2	43.131810	19995125.311160
87000	59	4	32.974202	-45	32	52.465111	19991326.958246
87300	60	38	33.268365	-43	58	36.384216	19987909.432860
87600	62	3	41.819015	-42	20	22.157395	19984879.576255
87900	63	20	35.427368	-40	38	34.641531	19982243.458056
88200	64	29	51.317281	-38	53	36.369260	19980006.362505
88500	65	32	6.165020	-37	5	47.689061	19978172.776447
88800	66	27	55.441990	-35	15	26.934864	19976746.379119
89100	67	17	53.000730	-33	22	50.608394	19975730.033751
89400	68	2	30.843746	-31	28	13.562772	19975125.781036
89700	68	42	19.025607	-29	31	49.180002	19974934.834456
90000	69	17	45.649155	-27	33	49.537968	19975157.577513
90300	69	49	16.925881	-25	34	25.564678	19975793.562846
90600	70	17	17.278174	-23	33	47.178926	19976841.513260
90900	70	42	9.467219	-21	32	3.417465	19978299.324642
91200	71	4	14.735048	-19	29	22.549394	19980164.070774
91500	71	23	52.952841	-17	25	52.178741	19982432.010018
91800	71	41	22.770182	-15	21	39.336443	19985098.593842
92100	71	57	1.761973	-13	16	50.562926	19988158.477181
92400	72	11	6.571058	-11	11	31.982531	19991605.530582
92700	72	23	53.045635	-9	5	49.370950	19995432.854094
93000	72	35	36.371226	-6	59	48.216775	19999632.792873
93300	72	46	31.197437	-4	53	33.778219	20004196.954433
93600	72	56	51.760090	-2	47	11.135961	20009116.227503
93900	73	6	51.999508	0	-40	45.243046	20014380.802425
94200	73	16	45.675873	1	25	39.027321	20019980.193029
94500	73	26	46.482657	3	31	56.835241	20025903.259917
94800	73	37	8.159171	5	38	3.328067	20032138.235088
95100	73	48	4.603264	7	43	53.594036	20038672.747834
95400	73	59	49.985192	9	49	22.614787	20045493.851814
95700	74	12	38.863619	11	54	25.215988	20052588.053248
96000	74	26	46.304573	13	58	56.015206	20059941.340133
96300	74	42	28.004078	16	2	49.366172	20067539.212407
96600	75	0	0.414881	18	5	59.298518	20075366.712972
96900	75	19	40.877379	20	8	19.452001	20083408.459501
97200	75	41	47.754357	22	9	43.004208	20091648.676920
97500	76	6	40.568384	24	10	2.590657	20100071.230514
97800	76	34	40.139780	26	9	10.216207	20108659.659537
98100	77	6	8.721625	28	6	57.156701	20117397.211267
98400	77	41	30.126422	30	3	13.849845	20126266.875404
98700	78	21	9.836450	31	57	49.774525	20135251.418739
99000	79	5	35.086455	33	50	33.318112	20144333.420011
99300	79	55	14.902913	35	41	11.631887	20153495.304867
99600	80	50	40.078451	37	29	30.475656	20162719.380849
99900	81	52	23.053099	39	15	14.053995	20171987.872336
100200	83	0	57.665824	40	58	4.848582	20181282.955365
100500	84	16	58.730717	42	37	43.453858	20190586.792256
100800	85	41	1.383129	44	13	48.426996	20199881.565980
101100	87	13	40.133823	45	45	56.167987	20209149.514197
101400	88	55	27.566743	47	13	40.851446	20218372.962911
101700	90	46	52.623024	48	36	34.438314	20227534.359661
102000	92	48	18.436401	49	54	6.802058	20236616.306226
102300	94	59	59.730441	51	5	46.008891	20245601.590750
102600	97	21	59.862124	52	10	58.792603	20254473.219268
102900	99	54	7.700893	53	9	11.258815	20263214.446564
103200	102	35	54.658970	53	59	49.837517	20271808.806330
103500	105	26	32.314075	54	42	22.474350	20280240.140576
103800	108	24	51.148593	55	16	20.010551	20288492.628249
104100	111	29	20.918262	55	41	17.653739	20296550.813036
104400	114	38	13.014473	55	56	56.397377	20304399.630306
104700	117	49	24.888982	56	3	4.219981	20312024.433163
105000	121	0	46.217326	55	59	36.899715	20319411.017589
105300	124	10	6.094089	55	46	38.322042	20326545.646635
105600	127	15	20.306638	55	24	20.231575	20333415.073655
105900	130	14	37.714644	54	53	1.466052	20340006.564545
106200	133	6	24.978000	54	13	6.786929	20346307.918975
106500	135	49	29.245761	53	25	5.468072	20352307.490603
106800	138	22	58.817831	52	29	29.813416	20357994.206238
107100	140	46	22.106587	51	26	53.751146	20363357.583958
107400	142	59	25.398045	50	17	51.608807	20368387.750151
107700	145	2	9.942475	49	2	57.125513	20373075.455486
108000	146	54	48.832542	47	42	42.715293	20377412.089793
108300	148	37	44.005304	46	17	38.965320	20381389.695845
108600	150	11	23.575876	44	48	14.335202	20385000.982039
108900	151	36	19.601694	43	14	55.016595	20388239.333966
109200	152	53	6.297322	41	38	4.912776	20391098.824868
109500	154	2	18.670382	39	58	5.702473	20393574.224971
109800	155	4	31.523493	38	15	16.958665	20395661.009697
110100	156	0	18.758195	36	29	56.299752	20397355.366752
110400	156	50	12.918085	34	42	19.556479	20398654.202077
110700	157	34	44.915146	32	52	40.943016	20399555.144677
111000	158	14	23.892192	31	1	13.224497	20400056.550310
111300	158	49	37.183467	29	8	7.876256	20400157.504042
111600	159	20	50.343864	27	13	35.232105	20399857.821671
111900	159	48	27.224341	25	17	44.620465	20399158.050015
112200	160	12	50.076935	23	20	44.488136	20398059.466058
112500	160	34	19.677395	21	22	42.512114	20396564.074967
112800	160	53	15.456975	19	23	45.700246	20394674.606974
113100	161	9	55.637597	17	24	0.481711	20392394.513119
113400	161	24	37.366598	15	23	32.788403	20389727.959870
113700	161	37	36.848709	13	22	28.128312	20386679.822599
114000	161	49	9.473979	11	20	51.651979	20383255.677944
114300	161	59	29.941081	9	18	48.213044	20379461.795038
114600	162	8	52.376008	7	16	22.423851	20375305.125613
114900	162	17	30.446481	5	13	38.707003	20370793.292997
115200	162	25	37.472695	3	10	41.343735	20365934.579990
115500	162	33	26.535160	1	7	34.519875	20360737.915635
115800	162	41	10.580531	0	-55	37.629821	20355212.860889
116100	162	49	2.526387	-2	58	50.978243	20349369.593204
116400	162	57	15.365958	-5	2	1.362685	20343218.890022
116700	163	6	2.273820	-7	5	4.541059	20336772.111199
117000	163	15	36.713577	-9	7	56.146851	20330041.180364
117300	163	26	12.548518	-11	10	31.642044	20323038.565238
117600	163	38	4.156176	-13	12	46.267227	20315777.256909
117900	163	51	26.547619	-15	14	34.988037	20308270.748100
118200	164	6	35.492124	-17	15	52.437024	20300533.010432
118500	164	23	47.647647	-19	16	32.849977	20292578.470714
118800	164	43	20.697101	-21	16	29.995637	20284421.986276
119100	165	5	33.489905	-23	15	37.097671	20276078.819370
119400	165	30	46.187458	-25	13	46.747729	20267564.610675
119700	165	59	20.410030	-27	10	50.808319	20258895.351922
120000	166	31	39.380977	-29	6	40.304297	20250087.357683
120300	167	8	8.061932	-31	1	5.301819	20241157.236352
120600	167	49	13.269648	-32	53	54.773835	20232121.860360
120900	168	35	23.761107	-34	44	56.451618	20222998.335667
121200	169	27	10.268242	-36	33	56.662518	20213803.970561
121500	170	25	5.456899	-38	20	40.155256	20204556.243832
121800	171	29	43.776324	-40	4	49.915759	20195272.772353
122100	172	41	41.155692	-41	46	6.978999	20185971.278127
122400	174	1	34.493419	-43	24	10.245727	20176669.554855
122700	175	30	0.874528	-44	58	36.317631	20167385.434087
123000	177	7	36.443599	-46	28	59.370353	20158136.751013
123300	178	54	54.859761	-47	54	51.090920	20148941.309955
123600	-179	7	34.728089	-49	15	40.714029	20139816.849638
123900	-176	59	30.215293	-50	30	55.199043	20130781.008303
124200	-174	40	39.552425	-51	39	59.594612	20121851.288730
124500	-172	11	4.103446	-52	42	17.637348	20113045.023252
124800	-169	31	2.088644	-53	37	12.621114	20104379.338843
125100	-166	41	11.697859	-54	24	8.550276	20095871.122339
125400	-163	42	33.323568	-55	2	31.551733	20087536.985897
125700	-160	36	30.299948	-55	31	51.468638	20079393.232754
126000	-157	24	47.605682	-55	51	43.502057	20071455.823380
126300	-154	9	28.235672	-56	1	49.720388	20063740.342113
126600	-150	52	47.353527	-56	2	0.238295	20056261.964350
126900	-147	37	4.809948	-55	52	13.891002	20049035.424386
127200	-144	24	37.003417	-55	32	38.297695	20042074.983987
127500	-141	17	29.226092	-55	3	29.304686	20035394.401785
127800	-138	17	29.514472	-54	25	9.898546	20029006.903571
128100	-135	26	4.659701	-53	38	8.753766	20022925.153577
128400	-132	44	18.561315	-52	42	58.611620	20017161.226826
128700	-130	12	52.683362	-51	40	14.675601	20011726.582635
129000	-127	52	8.096957	-50	30	33.166228	20006632.039338
129300	-125	42	8.496133	-49	14	30.122261	20001887.750320
129600	-123	42	43.620483	-47	52	40.482050	19997503.181419
129900	-121	53	32.646846	-46	25	37.437768	19993487.089780
130200	-120	14	7.264823	-44	53	52.029537	19989847.504209
130500	-118	43	54.287975	-43	17	52.934502	19986591.707112
130800	-117	22	17.755821	-41	38	6.404014	19983726.218047
131100	-116	8	40.548705	-39	54	56.306321	19981256.778971
131400	-115	2	25.573913	-38	8	44.239216	19979188.341202
131700	-114	2	56.595770	-36	19	49.684947	19977525.054163
132000	-113	9	38.782911	-34	28	30.186875	19976270.255923
132300	-112	21	59.038904	-32	35	1.533473	19975426.465581
132600	-111	39	26.172133	-30	39	37.940071	19974995.377507
132900	-111	1	30.950050	-28	42	32.222337	19974977.857471
133200	-110	27	46.072892	-26	43	55.958107	19975373.940663
133500	-109	57	46.093423	-24	43	59.635973	19976182.831606
133800	-109	31	7.302261	-22	42	52.790237	19977402.905984
134100	-109	7	27.592874	-20	40	44.122621	19979031.714351
134400	-108	46	26.316119	-18	37	41.611565	19981065.987730
134700	-108	27	44.131020	-16	33	52.610220	19983501.645076
135000	-108	11	2.856187	-14	29	23.934336	19986333.802573
135300	-107	56	5.324526	-12	24	21.941280	19989556.784748
135600	-107	42	35.242737	-10	18	52.601385	19993164.137351
135900	-107	30	17.056180	-8	13	1.562796	19997148.641973
136200	-107	18	55.819149	-6	6	54.210865	20001502.332344
136500	-107	8	17.070128	-4	0	35.723137	20006216.512267
136800	-106	58	6.711383	-1	54	11.120850	20011281.775126
137100	-106	48	10.892017	0	12	14.682148	20016688.024912
137400	-106	38	15.893548	2	18	36.832233	20022424.498697
137700	-106	28	8.016975	4	24	50.489770	20028479.790491
138000	-106	17	33.470290	6	30	50.783020	20034841.876406
138300	-106	6	18.255410	8	36	32.761403	20041498.141057
138600	-105	54	8.053526	10	41	51.347322	20048435.405115
138900	-105	40	48.107958	12	46	41.285740	20055639.953939
139200	-105	26	3.103732	14	50	57.090643	20063097.567201
139500	-105	9	37.043265	16	54	32.987525	20070793.549418
139800	-104	51	13.117866	18	57	22.850937	20078712.761316
140100	-104	30	33.575129	20	59	20.136099	20086839.651930
140400	-104	7	19.582888	23	0	17.803558	20095158.291358
140700	-103	41	11.091258	25	0	8.235772	20103652.404088
141000	-103	11	46.695388	26	58	43.144556	20112305.402806
141300	-102	38	43.503154	28	55	53.468328	20121100.422603
141600	-102	1	37.014201	30	51	29.258220	20130020.355499
141900	-101	20	1.019568	32	45	19.552386	20139047.885201
142200	-100	33	27.534988	34	37	12.238268	20148165.522009
