Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
83100	-8806644.403500	-11884198.898333	-21912869.773524	13464152.311063	6124358.876596	-21912869.773524
83400	-7824295.035117	-12515074.019615	-21925273.997907	13064210.165233	6868266.394923	-21925273.997907
83700	-6826748.795770	-13121640.921744	-21895084.616794	12677850.453618	7619321.982659	-21895084.616794
84000	-5815932.426265	-13702700.098747	-21822324.873903	12305893.526385	8375801.125885	-21822324.873903
84300	-4793802.033963	-14257100.472142	-21707102.162863	11949064.102042	9135935.578738	-21707102.162863
84600	-3762339.192827	-14783741.895503	-21549608.076333	11607988.351078	9897920.340958	-21549608.076333
84900	-2723546.964163	-15281577.563224	-21350118.271770	11283191.428965	10659920.828231	-21350118.271770
85200	-1679445.847043	-15749616.316436	-21108992.152161	10975095.471628	11420080.203605	-21108992.152161
85500	-632069.667759	-16186924.839245	-20826672.360518	10684018.064312	12176526.837228	-20826672.360518
85800	416538.581977	-16592629.738649	-20503684.087563	10410171.192581	12927381.860815	-20503684.087563
86100	1464330.948043	-16965919.501779	-20140634.192550	10153660.681886	13670766.782569	-20140634.192550
86400	2509258.747808	-17306046.324375	-19738210.137784	9914486.129805	14404811.127771	-19738210.137784
86700	3549276.824356	-17612327.804729	-19297178.738008	9692541.332677	15127660.069935	-19297178.738008
87000	4582347.810251	-17884148.497706	-18818384.726414	9487615.205917	15837482.017246	-18818384.726414
87300	5606446.389886	-18120961.323785	-18302749.139650	9299393.194896	16532476.119066	-18302749.139650
87600	6619563.549366	-18322288.828523	-17751267.524831	9127459.170821	17210879.657499	-17751267.524831
87900	7619710.802764	-18487724.288259	-17165007.972126	8971297.803632	17870975.289418	-17165007.972126
88200	8604924.383593	-18616932.658315	-16545108.977133	8830297.401536	18511098.104974	-16545108.977133
88500	9573269.390319	-18709651.360477	-15892777.137835	8703753.204477	19129642.469365	-15892777.137835
88800	10522843.874894	-18765690.906984	-15209284.691481	8590871.116498	19725068.615637	-15209284.691481
89100	11451782.863079	-18784935.358938	-14495966.897340	8490771.859778	20295908.957418	-14495966.897340
89400	12358262.296370	-18767342.617121	-13754219.271769	8402495.530965	20840774.091822	-13754219.271769
89700	13240502.884126	-18712944.544502	-12985494.682577	8325006.538378	21358358.464220	-12985494.682577
90000	14096773.856175	-18621846.919539	-12191300.310149	8257198.896751	21847445.668233	-12191300.310149
90300	14925396.605639	-18494229.220335	-11373194.483228	8197901.854366	22306913.356090	-11373194.483228
90600	15724748.212344	-18330344.240177	-10532783.397700	8145885.825752	22735737.736410	-10532783.397700
90900	16493264.837536	-18130517.535514	-9671717.727109	8099868.601616	23132997.638509	-9671717.727109
91200	17229444.981071	-17895146.708011	-8791689.133943	8058521.806284	23497878.124516	-8791689.133943
91500	17931852.592692	-17624700.522836	-7894426.691087	8020477.571729	23829673.632828	-7894426.691087
91800	18599120.029540	-17319717.865890	-6981693.223070	7984335.396222	24127790.638761	-6981693.223070
92100	19229950.852564	-16980806.543177	-6055281.576962	7948669.154774	24391749.820724	-6055281.576962
92400	19823122.455068	-16608641.926051	-5117010.832966	7912034.227856	24621187.722643	-5117010.832966
