time (min)	GST (deg)	GST (min)	GST (sec)	GST (hour)	GST (min)	GST (sec)
1750	267.0000	18.0000	44.1732	17.0000	49.0000	14.9449
1760	269.0000	49.0000	8.8144	17.0000	59.0000	16.5876
1770	272.0000	19.0000	33.4555	18.0000	9.0000	18.2304
1780	274.0000	49.0000	58.0967	18.0000	19.0000	19.8731
1790	277.0000	20.0000	22.7379	18.0000	29.0000	21.5159
1800	279.0000	50.0000	47.3791	18.0000	39.0000	23.1586
1810	282.0000	21.0000	12.0203	18.0000	49.0000	24.8014
1820	284.0000	51.0000	36.6615	18.0000	59.0000	26.4441
1830	287.0000	22.0000	1.3027	19.0000	9.0000	28.0868
1840	289.0000	52.0000	25.9438	19.0000	19.0000	29.7296
1850	292.0000	22.0000	50.5850	19.0000	29.0000	31.3723
1860	294.0000	53.0000	15.2262	19.0000	39.0000	33.0151
1870	297.0000	23.0000	39.8674	19.0000	49.0000	34.6578
1880	299.0000	54.0000	4.5086	19.0000	59.0000	36.3006
1890	302.0000	24.0000	29.1498	20.0000	9.0000	37.9433
1900	304.0000	54.0000	53.7909	20.0000	19.0000	39.5861
1910	307.0000	25.0000	18.4321	20.0000	29.0000	41.2288
1920	309.0000	55.0000	43.0733	20.0000	39.0000	42.8716
1930	312.0000	26.0000	7.7145	20.0000	49.0000	44.5143
1940	314.0000	56.0000	32.3557	20.0000	59.0000	46.1570
1950	317.0000	26.0000	56.9969	21.0000	9.0000	47.7998
1960	319.0000	57.0000	21.6380	21.0000	19.0000	49.4425
1970	322.0000	27.0000	46.2792	21.0000	29.0000	51.0853
1980	324.0000	58.0000	10.9204	21.0000	39.0000	52.7280
1990	327.0000	28.0000	35.5616	21.0000	49.0000	54.3708
2000	329.0000	59.0000	0.2028	21.0000	59.0000	56.0135
2010	332.0000	29.0000	24.8440	22.0000	9.0000	57.6563
2020	334.0000	59.0000	49.4852	22.0000	19.0000	59.2990
2030	337.0000	30.0000	14.1263	22.0000	30.0000	0.9418
2040	340.0000	0.0000	38.7675	22.0000	40.0000	2.5845
2050	342.0000	31.0000	3.4087	22.0000	50.0000	4.2272
2060	345.0000	1.0000	28.0499	23.0000	0.0000	5.8700
2070	347.0000	31.0000	52.6911	23.0000	10.0000	7.5127
2080	350.0000	2.0000	17.3323	23.0000	20.0000	9.1555
2090	352.0000	32.0000	41.9734	23.0000	30.0000	10.7982
2100	355.0000	3.0000	6.6146	23.0000	40.0000	12.4410
2110	357.0000	33.0000	31.2558	23.0000	50.0000	14.0837
2120	0.0000	3.0000	55.8970	0.0000	0.0000	15.7265
2130	2.0000	34.0000	20.5382	0.0000	10.0000	17.3692
2140	5.0000	4.0000	45.1794	0.0000	20.0000	19.0120
2150	7.0000	35.0000	9.8205	0.0000	30.0000	20.6547
2160	10.0000	5.0000	34.4617	0.0000	40.0000	22.2974
2170	12.0000	35.0000	59.1029	0.0000	50.0000	23.9402
2180	15.0000	6.0000	23.7441	1.0000	0.0000	25.5829
2190	17.0000	36.0000	48.3853	1.0000	10.0000	27.2257
2200	20.0000	7.0000	13.0265	1.0000	20.0000	28.8684
2210	22.0000	37.0000	37.6677	1.0000	30.0000	30.5112
2220	25.0000	8.0000	2.3088	1.0000	40.0000	32.1539
2230	27.0000	38.0000	26.9500	1.0000	50.0000	33.7967
2240	30.0000	8.0000	51.5912	2.0000	0.0000	35.4394
2250	32.0000	39.0000	16.2324	2.0000	10.0000	37.0822
2260	35.0000	9.0000	40.8736	2.0000	20.0000	38.7249
2270	37.0000	40.0000	5.5148	2.0000	30.0000	40.3677
2280	40.0000	10.0000	30.1559	2.0000	40.0000	42.0104
2290	42.0000	40.0000	54.7971	2.0000	50.0000	43.6531
2300	45.0000	11.0000	19.4383	3.0000	0.0000	45.2959
2310	47.0000	41.0000	44.0795	3.0000	10.0000	46.9386
2320	50.0000	12.0000	8.7207	3.0000	20.0000	48.5814
2330	52.0000	42.0000	33.3619	3.0000	30.0000	50.2241
2340	55.0000	12.0000	58.0030	3.0000	40.0000	51.8669
2350	57.0000	43.0000	22.6442	3.0000	50.0000	53.5096
2360	60.0000	13.0000	47.2854	4.0000	0.0000	55.1524
2370	62.0000	44.0000	11.9266	4.0000	10.0000	56.7951
2380	65.0000	14.0000	36.5678	4.0000	20.0000	58.4379
2390	67.0000	45.0000	1.2090	4.0000	31.0000	0.0806
2400	70.0000	15.0000	25.8502	4.0000	41.0000	1.7233
2410	72.0000	45.0000	50.4913	4.0000	51.0000	3.3661
2420	75.0000	16.0000	15.1325	5.0000	1.0000	5.0088
2430	77.0000	46.0000	39.7737	5.0000	11.0000	6.6516
2440	80.0000	17.0000	4.4149	5.0000	21.0000	8.2943
2450	82.0000	47.0000	29.0561	5.0000	31.0000	9.9371
2460	85.0000	17.0000	53.6973	5.0000	41.0000	11.5798
2470	87.0000	48.0000	18.3384	5.0000	51.0000	13.2226
2480	90.0000	18.0000	42.9796	6.0000	1.0000	14.8653
