Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
16500	-9817708.271469	-12968324.857980	21081429.758431	-2190094.060062	16117330.217311	21081429.758431
16800	-8742557.075141	-13303173.418477	21355307.855059	-2846413.889863	15662204.671813	21355307.855059
17100	-7650812.582817	-13612776.119664	21588651.049961	-3518461.497492	15213909.279083	21588651.049961
17400	-6544560.972673	-13896570.253533	21781055.927510	-4204961.238166	14773768.785315	21781055.927510
17700	-5425911.633478	-14154042.627424	21932196.662436	-4904562.883547	14343036.731271	21932196.662436
18000	-4296993.262450	-14384730.287594	22041825.324138	-5615846.738931	13922890.574490	22041825.324138
18300	-3159949.771404	-14588221.220442	22109772.041303	-6337329.043184	13514427.162584	22109772.041303
18600	-2016936.513121	-14764154.854325	22135945.028778	-7067467.628022	13118658.574233	22135945.028778
18900	-870116.200612	-14912222.578426	22120330.478778	-7804667.812415	12736508.342906	22120330.478778
19200	278344.967234	-15032168.111766	22062992.318669	-8547288.507143	12368808.076643	22062992.318669
19500	1426281.356714	-15123787.791760	21964071.837697	-9293648.503914	12016294.485589	21964071.837697
19800	2571531.590635	-15186930.767680	21823787.185113	-10042032.922925	11679606.827236	21823787.185113
20100	3711942.505606	-15221499.121400	21642432.742289	-10790699.792336	11359284.777634	21642432.742289
20400	4845373.074715	-15227447.853351	21420378.371447	-11537886.732790	11055766.735103	21420378.371447
20700	5969697.982877	-15204784.854838	21158068.543722	-12281817.719917	10769388.561260	21158068.543722
21000	7082811.492178	-15153570.726475	20856021.349328	-13020709.897629	10500382.762442	20856021.349328
21300	8182631.052939	-15073918.560478	20514827.392626	-13752780.414989	10248878.112923	20514827.392626
21600	9267101.059387	-14965993.544794	20135148.574945	-14476253.259526	10014899.719607	20135148.574945
21900	10334196.209055	-14830012.656448	19717716.768017	-15189366.060031	9798369.526204	19717716.768017
22200	11381925.133034	-14666244.106539	19263332.380909	-15890376.832124	9599107.253264	19263332.380909
22500	12408333.757210	-14475006.813942	18772862.823345	-16577570.640237	9416831.768803	18772862.823345
22800	13411508.785620	-14256669.649378	18247240.868313	-17249266.150084	9251162.882676	18247240.868313
23100	14389580.784414	-14011650.868923	17687462.916858	-17903822.046239	9101623.556288	17687462.916858
23400	15340727.510012	-13740417.210158	17094587.167956	-18539643.289982	8967642.517732	17094587.167956
23700	16263176.961871	-13443483.079022	16469731.696365	-19155187.193328	8848557.270970	16469731.696365
24000	17155210.531211	-13121409.460427	15814072.441335	-19748969.285833	8743617.486234	15814072.441335
24300	18015165.758901	-12774803.110812	15128841.109066	-20319568.951657	8651988.757479	15128841.109066
24600	18841439.303012	-12404315.332402	14415322.991797	-20865634.815227	8572756.711370	14415322.991797
24900	19632489.631973	-12010640.895440	13674854.706407	-21385889.854808	8504931.451035	13674854.706407
25200	20386839.783570	-11594516.643813	12908821.855411	-21879136.224338	8447452.316614	12908821.855411
25500	21103079.751930	-11156720.464772	12118656.613244	-22344259.764953	8399192.943471	12118656.613244
25800	21779869.041760	-10698069.769984	11305835.240748	-22780234.188772	8358966.597872	11305835.240748
26100	22415938.955515	-10219420.175574	10471875.530772	-23186124.918739	8325531.768897	10471875.530772
26400	23010094.912203	-9721663.832871	9618334.187835	-23561092.569546	8297597.994434	9618334.187835
26700	23561218.421816	-9205728.192839	8746804.144842	-23904396.055985	8273831.898194	8746804.144842
27000	24068269.177077	-8672574.224461	7858911.819860	-24215395.316417	8252863.413910	7858911.819860
27300	24530286.890709	-8123194.875690	6956314.316025	-24493553.640439	8233292.172142	6956314.316025
27600	24946393.126340	-7558613.161451	6040696.567694	-24738439.591271	8213694.024456	6040696.567694
27900	25315792.819908	-6979880.740711	5113768.436031	-24949728.514859	8192627.679194	5113768.436031
28200	25637775.861789	-6388075.905287	4177261.757286	-25127203.629156	8168641.422536	4177261.757286
28500	25911718.441380	-5784301.846536	3232927.347091	-25270756.688639	8140279.898185	3232927.347091
28800	26137084.344113	-5169684.535744	2282531.964220	-25380388.220613	8106090.918646	2282531.964220
29100	26313425.979648	-4545371.133618	1327855.237315	-25456207.331473	8064632.280880	1327855.237315
29400	26440385.408900	-3912527.786321	370686.558234	-25498431.082678	8014478.558948	370686.558234
29700	26517695.153983	-3272337.726000	-587178.054242	-25507383.437802	7954227.846215	-587178.054242
30000	26545178.917281	-2625998.982958	-1543939.116471	-25483493.783656	7882508.419744	-1543939.116471
30300	26522752.076866	-1974722.651074	-2497796.863770	-25427295.030076	7797985.299614	-2497796.863770
30600	26450422.115382	-1319730.532989	-3446954.451862	-25339421.294643	7699366.676172	-3446954.451862
30900	26328288.855369	-662253.107559	-4389621.171652	-25220605.180163	7585410.178530	-4389621.171652
31200	26156544.559729	-3527.118950	-5324015.672909	-25071674.654397	7454928.958060	-5324015.672909
31500	25935473.857151	655206.272876	-6248369.192259	-24893549.543107	7306797.561165	-6248369.192259
31800	25665453.534458	1312703.949317	-7160928.780746	-24687237.649041	7139957.566243	-7160928.780746
32100	25346952.161713	1967722.959011	-8059960.526050	-24453830.511076	6953422.960467	-8059960.526050
32400	24980529.539682	2619022.999605	-8943752.764305	-24194498.819201	6746285.232857	-8943752.764305
32700	24566836.023460	3265368.345637	-9810619.276284	-23910487.502551	6517718.161031	-9810619.276284
33000	24106611.656698	3905530.298325	-10658902.462566	-23603110.509099	6266982.270061	-10658902.462566
33300	23600685.115684	4538289.624481	-11486976.492140	-23273745.297031	5993428.942959	-11486976.492140
33600	23049972.566409	5162438.513970	-12293250.418755	-22923827.059134	5696504.163579	-12293250.418755
33900	22455476.277629	5776783.075694	-13076171.259180	-22554842.702799	5375751.873997	-13076171.259180
34200	21818283.119598	6380145.506548	-13834227.027381	-22168324.609451	5030816.929852	-13834227.027381
34500	21139562.819837	6971366.547457	-14565949.718528	-21765844.198310	4661447.638636	-14565949.718528
34800	20420566.189244	7549307.433942	-15269918.236587	-21349005.320448	4267497.867480	-15269918.236587
35100	19662623.049209	8112852.319970	-15944761.259186	-20919437.510042	3848928.708662	-15944761.259186
35400	18867140.079026	8660910.387867	-16589160.033324	-20478789.120569	3405809.692790	-16589160.033324
